Average AP uses epochs 5-24 inclusive (20 epochs).
src=source-trained model; tgt=target-trained model; TD_BEV=BEV_tgt-BEV_src; TD_3D=3D_tgt-3D_src; average(n) uses n complete source/target pairs.

seed       shared_seq source_seq target_seq test_seq BEV_src  3D_src BEV_tgt  3D_tgt  TD_BEV   TD_3D
----------------------------------------------------------------------------------------------------
seed42     9,12_first 3,4,18     42,48,49   43       25.7518 17.8163 26.6590 19.1411  0.9072  1.3248
seed42     9,12_first 3,4,18     43,48,49   42       39.2171 32.0921 34.1980 27.2016 -5.0191 -4.8905
seed42     9,12_first 3,15,18    42,43,48   49        5.7045  5.6691 19.5513 19.4898 13.8468 13.8207
seed42     9,12_first 3,15,18    42,43,49   48       64.7247 60.9319 67.1121 57.9906  2.3874 -2.9413
seed42     9,12_last  3,4,18     42,48,49   43       26.9327 18.4261 26.6050 20.0489 -0.3277  1.6228
seed42     9,12_last  3,4,18     43,48,49   42       34.5645 27.6794 33.0786 27.6462 -1.4859 -0.0332
seed42     9,12_last  3,15,18    42,43,48   49        3.3338  3.2315 18.4112 18.4003 15.0774 15.1688
seed42     9,12_last  3,15,18    42,43,49   48       60.6975 58.2509 59.6796 51.7277 -1.0179 -6.5232
average(8) -          -          -          -              -       -       -       -  3.0460  2.1936
